"","doi","year","article_name","article_type","corresponding_author","authors","author_affiliations","author","author_affiliation1","author_affiliation2","author_affiliation3","author_affiliation4"
"52","10.1207/s15516709cog0301_4","1979","Coherence and Coreference†","Original Article","Jerry R. Hobbs","             SRI International, Menlo Park. CA","Jerry R. Hobbs","             SRI International, Menlo Park. CA",NA,NA,NA,NA
"53","10.1207/s15516709cog0302_1","1979","Micro- and Macrodevelopmental Changes in Language Acquisition and Other Representational Systems†","Original Article","Annette Karmiloff-Smith","             Geneva University and Mar-Planck-Projektgruppe fur Psycholinguistik, Nijmegen","Annette Karmiloff-Smith","             Geneva University and Mar-Planck-Projektgruppe fur Psycholinguistik, Nijmegen",NA,NA,NA,NA
"54","10.1207/s15516709cog0302_2","1979","Configural Effects in Human Memory: The Superiority of Memory over External Information Sources as a Basis for Inference Verification†","Original Article","Barbara Hayes-Roth1 and
Carol Walker2","             Rand Corporation, Santa Monica, California
             Military Personnel Center, Alexandria, Virginia","Barbara Hayes-Roth","             Rand Corporation, Santa Monica, California",NA,NA,NA,NA
"55","10.1207/s15516709cog0302_2","1979","Configural Effects in Human Memory: The Superiority of Memory over External Information Sources as a Basis for Inference Verification†","Original Article","Barbara Hayes-Roth1 and
Carol Walker2","             Rand Corporation, Santa Monica, California
             Military Personnel Center, Alexandria, Virginia","Carol Walker","             Military Personnel Center, Alexandria, Virginia",NA,NA,NA,NA
"56","10.1207/s15516709cog0302_3","1979","Inferring Conceptual Graphs†","Original Article","Sharon C. Salveter","             State University of New York at Stony Brook","Sharon C. Salveter","             State University of New York at Stony Brook",NA,NA,NA,NA
"57","10.1207/s15516709cog0302_4","1979","Problem Finding: a Theoretical Note","Theoretical Notes","J. W. Getzels","             The University of Chicago","J. W. Getzels","             The University of Chicago",NA,NA,NA,NA
"58","10.1207/s15516709cog0302_5","1979","Will There Be Any Neat Solutions to Small Problems in Cognitive Science?","Original Article","P. N. Johnson-Laird","             University of Sussex, Brighton, England","P. N. Johnson-Laird","             University of Sussex, Brighton, England",NA,NA,NA,NA
"59","10.1207/s15516709cog0303_1","1979","Elements of a Plan-Based Theory of Speech Acts†","Original Article","Philip R. Cohen1 and
C. Raymond Perrault2","             Bolt Beranek and Newman Inc.
             University of Toronto","Philip R. Cohen","             Bolt Beranek and Newman Inc.",NA,NA,NA,NA
"60","10.1207/s15516709cog0303_1","1979","Elements of a Plan-Based Theory of Speech Acts†","Original Article","Philip R. Cohen1 and
C. Raymond Perrault2","             Bolt Beranek and Newman Inc.
             University of Toronto","C. Raymond Perrault","             University of Toronto",NA,NA,NA,NA
"61","10.1207/s15516709cog0303_2","1979","An Evaluation of Story Grammars†","Original Article","TRUE","John B. Black1,* and
Robert Wilensky2","             Yale University
             University of California, Berkeley","John B. Black","             Yale University",NA,NA,NA
"62","10.1207/s15516709cog0303_2","1979","An Evaluation of Story Grammars†","Original Article","TRUE","John B. Black1,* and
Robert Wilensky2","             Yale University
             University of California, Berkeley","Robert Wilensky","             University of California, Berkeley",NA,NA,NA
"63","10.1207/s15516709cog0303_3","1979","Some Demonstrations of the Effects of Structural Descriptions in Mental Imagery†","Original Article","TRUE","Geoffrey Hinton*","             University of California, San Diego","Geoffrey Hinton","             University of California, San Diego",NA,NA,NA
"64","10.1207/s15516709cog0303_4","1979","Prediction and Substantiation: A New Approach to Natural Language Processing†","Original Article","Gerald DeJong","             Yale University","Gerald DeJong","             Yale University",NA,NA,NA,NA
"65","10.1207/s15516709cog0304_1","1979","A Cognitive Model of Planning†","Original Article","TRUE","Barbara Hayes-Roth* and
Frederick Hayes-Roth","             The Rand Corporation, Santa Monica, California","Barbara Hayes-Roth","             The Rand Corporation, Santa Monica, California",NA,NA,NA
"66","10.1207/s15516709cog0304_1","1979","A Cognitive Model of Planning†","Original Article","FALSE","Barbara Hayes-Roth* and
Frederick Hayes-Roth","             The Rand Corporation, Santa Monica, California","Frederick Hayes-Roth","             The Rand Corporation, Santa Monica, California",NA,NA,NA
"67","10.1207/s15516709cog0304_2","1979","Knowledge of Language and Knowledge about the World: A Reaction Time Study of Invited and Necessary Inferences†","Original Article","Roger Chaffin","             Buena Vista College","Roger Chaffin","             Buena Vista College",NA,NA,NA,NA
"68","10.1207/s15516709cog0304_3","1979","User Modeling via Stereotypes†","Original Article","Elaine Rich","             The University of Texas at Austin","Elaine Rich","             The University of Texas at Austin",NA,NA,NA,NA
"69","10.1207/s15516709cog0304_4","1979","Differences Between Belief and Knowledge Systems†","Original Article","Robert P. Abelson","             Yale University","Robert P. Abelson","             Yale University",NA,NA,NA,NA
"70","10.1207/s15516709cog0401_1","1980","Twelve Issues for Cognitive Science","Original Article","Donald A. Norman","             University of California, San Diego","Donald A. Norman","             University of California, San Diego",NA,NA,NA,NA
"71","10.1207/s15516709cog0401_2","1980","Cognitive Science: The Newest Science of the Artificial†","Original Article","Herbert A. Simon","             Carnegie-Mellon University","Herbert A. Simon","             Carnegie-Mellon University",NA,NA,NA,NA
"72","10.1207/s15516709cog0401_3","1980","The Intentionality of Intention and Action†","Original Article","John R. Searle","             University of California, Berkeley","John R. Searle","             University of California, Berkeley",NA,NA,NA,NA
"73","10.1207/s15516709cog0401_4","1980","Mental Models in Cognitive Science","Original Article","P.N. Johnson-Laird","             University of Sussex","P.N. Johnson-Laird","             University of Sussex",NA,NA,NA,NA
"74","10.1207/s15516709cog0401_5","1980","Editorial","Editorial","Allan Collins","","Allan Collins",NA,NA,NA,NA,NA
"75","10.1207/s15516709cog0402_1","1980","K-Lines: A theory of Memory","Original Article","Marvin Minsky","             Massachusetts Institute of Technology, USA","Marvin Minsky","             Massachusetts Institute of Technology, USA",NA,NA,NA,NA
"76","10.1207/s15516709cog0402_2","1980","Physical Symbol Systems†","Original Article","Allen Newell","             Carnegie-Mellon University","Allen Newell","             Carnegie-Mellon University",NA,NA,NA,NA
"77","10.1207/s15516709cog0402_3","1980","Neurological Knowledge and Complex Behaviors","Original Article","Norman Geschwind","             Harvard Medical School Massachusetts Institute of Technology, USA","Norman Geschwind","             Harvard Medical School Massachusetts Institute of Technology, USA",NA,NA,NA,NA
"78","10.1207/s15516709cog0402_4","1980","The Metaphorical Structure of the Human Conceptual System","Original Article","George Lakoff1 and
Mark Johnson2","             University of California, Berkeley
             Southern Illinois University","George Lakoff","             University of California, Berkeley",NA,NA,NA,NA
"79","10.1207/s15516709cog0402_4","1980","The Metaphorical Structure of the Human Conceptual System","Original Article","George Lakoff1 and
Mark Johnson2","             University of California, Berkeley
             Southern Illinois University","Mark Johnson","             Southern Illinois University",NA,NA,NA,NA
"80","10.1207/s15516709cog0403_1","1980","What Does it Mean to Understand Language?","Original Article","Terry Winograd","             Stanford University","Terry Winograd","             Stanford University",NA,NA,NA,NA
"81","10.1207/s15516709cog0403_2","1980","Language and Memory†","Original Article","Roger C. Schank","             Yale University","Roger C. Schank","             Yale University",NA,NA,NA,NA
"82","10.1207/s15516709cog0403_3","1980","“You Can't Miss it!”: Judging the Clarity of Directions","Original Article","Christopher K. Riesbeck","             Yale University","Christopher K. Riesbeck","             Yale University",NA,NA,NA,NA
"83","10.1207/s15516709cog0403_4","1980","On Throwing Out the Baby with the Bathwater: A Reply to Black and Wilensky's Evaluation of Story Grammars†","Original Article","Jean M. Mandler1 and
Nancy S. Johnson2","             University of California, San Diego
             State University of New York at Buffalo","Jean M. Mandler","             University of California, San Diego",NA,NA,NA,NA
"84","10.1207/s15516709cog0403_4","1980","On Throwing Out the Baby with the Bathwater: A Reply to Black and Wilensky's Evaluation of Story Grammars†","Original Article","Jean M. Mandler1 and
Nancy S. Johnson2","             University of California, San Diego
             State University of New York at Buffalo","Nancy S. Johnson","             State University of New York at Buffalo",NA,NA,NA,NA
"85","10.1207/s15516709cog0403_5","1980","On Evaluating Story Grammars†","Original Article","David E. Rumelhart","             University of California, San Diego","David E. Rumelhart","             University of California, San Diego",NA,NA,NA,NA
"86","10.1207/s15516709cog0404_1","1980","Models of Competence in Solving Physics Problems†","Original Article","Jill H. Larkin, 
John McDermott, 
Dorothea P. Simon and
Herbert A. Simon","             Carnegie-Mellon University","Jill H. Larkin","             Carnegie-Mellon University",NA,NA,NA,NA
"87","10.1207/s15516709cog0404_1","1980","Models of Competence in Solving Physics Problems†","Original Article","Jill H. Larkin, 
John McDermott, 
Dorothea P. Simon and
Herbert A. Simon","             Carnegie-Mellon University","John McDermott","             Carnegie-Mellon University",NA,NA,NA,NA
"88","10.1207/s15516709cog0404_1","1980","Models of Competence in Solving Physics Problems†","Original Article","Jill H. Larkin, 
John McDermott, 
Dorothea P. Simon and
Herbert A. Simon","             Carnegie-Mellon University","Dorothea P. Simon","             Carnegie-Mellon University",NA,NA,NA,NA
"89","10.1207/s15516709cog0404_1","1980","Models of Competence in Solving Physics Problems†","Original Article","Jill H. Larkin, 
John McDermott, 
Dorothea P. Simon and
Herbert A. Simon","             Carnegie-Mellon University","Herbert A. Simon","             Carnegie-Mellon University",NA,NA,NA,NA
"90","10.1207/s15516709cog0404_2","1980","Conversation as Planned Behavior","Original Article","Jerry R. Hobbs1 and
David Andreoff Evans2","             SRI International, Menlo Park CA.
             Stanford University, Stanford, CA.","Jerry R. Hobbs","             SRI International, Menlo Park CA.",NA,NA,NA,NA
"91","10.1207/s15516709cog0404_2","1980","Conversation as Planned Behavior","Original Article","Jerry R. Hobbs1 and
David Andreoff Evans2","             SRI International, Menlo Park CA.
             Stanford University, Stanford, CA.","David Andreoff Evans","             Stanford University, Stanford, CA.",NA,NA,NA,NA
"92","10.1207/s15516709cog0404_3","1980","Repair Theory: A Generative Theory of Bugs in Procedural Skills","Original Article","John Seely Brown and
Kurt VanLehn","             Xerox Palo Alto Research Center","John Seely Brown","             Xerox Palo Alto Research Center",NA,NA,NA,NA
"93","10.1207/s15516709cog0404_3","1980","Repair Theory: A Generative Theory of Bugs in Procedural Skills","Original Article","John Seely Brown and
Kurt VanLehn","             Xerox Palo Alto Research Center","Kurt VanLehn","             Xerox Palo Alto Research Center",NA,NA,NA,NA
"94","10.1207/s15516709cog0404_4","1980","Default Values, Criteria and Constructivism","Original Article","Alan Garnham†","             University of Texas at Austin","Alan Garnham†","             University of Texas at Austin",NA,NA,NA,NA
"95","10.1111/j.1551-6708.1981.tb00866.x","1981","Editorial","Editorial","Eugene Charniak, 
Donald A. Norman and
Edward E. Smith","","Eugene Charniak",NA,NA,NA,NA,NA
"96","10.1111/j.1551-6708.1981.tb00866.x","1981","Editorial","Editorial","Eugene Charniak, 
Donald A. Norman and
Edward E. Smith","","Donald A. Norman",NA,NA,NA,NA,NA
"97","10.1111/j.1551-6708.1981.tb00866.x","1981","Editorial","Editorial","Eugene Charniak, 
Donald A. Norman and
Edward E. Smith","","Edward E. Smith",NA,NA,NA,NA,NA
"98","10.1111/j.1551-6708.1981.tb00867.x","1981","The Progressive Construction of Mind","Original Article","Robert W. Lawler","Massachusetts Institute of Technology Logo Project Artificial Intelligence Laboratory Division for Study and Research in Education Cambridge, Mass., 02139","Robert W. Lawler","Massachusetts Institute of Technology Logo Project Artificial Intelligence Laboratory Division for Study and Research in Education Cambridge, Mass., 02139",NA,NA,NA,NA
"99","10.1111/j.1551-6708.1981.tb00869.x","1981","Data-Driven Discovery of Physical Laws","Original Article","Pat Langley","Department of Psychology Carnegie-Mellon University Pittsburgh, Pennsylvania 15213","Pat Langley","Department of Psychology Carnegie-Mellon University Pittsburgh, Pennsylvania 15213",NA,NA,NA,NA
"100","10.1111/j.1551-6708.1981.tb00870.x","1981","Mathematical Model Building in the Solution of Mechanics Problems: Human Protocols and the MECHO Trace","Original Article","George F. Luger†","Department of Artificial Intelligence University of Edinburgh","George F. Luger†","Department of Artificial Intelligence University of Edinburgh",NA,NA,NA,NA
"101","10.1111/j.1551-6708.1981.tb00868.x","1981","A Re-Evaluation of Story Grammars†","Original Article","Alan M. Frisch and
Donald Perlis","Department of Computer Science Mathematical Sciences Building The University of Rochester Rochester, NY 14627","Alan M. Frisch","Department of Computer Science Mathematical Sciences Building The University of Rochester Rochester, NY 14627",NA,NA,NA,NA
"102","10.1111/j.1551-6708.1981.tb00868.x","1981","A Re-Evaluation of Story Grammars†","Original Article","Alan M. Frisch and
Donald Perlis","Department of Computer Science Mathematical Sciences Building The University of Rochester Rochester, NY 14627","Donald Perlis","Department of Computer Science Mathematical Sciences Building The University of Rochester Rochester, NY 14627",NA,NA,NA,NA
"103","10.1207/s15516709cog0502_1","1981","The Process of Retrieval from Very Long-Term Memory","Original Article","Michael David Williams1 and
James D. Hollan2","             Xerox, PARC
             University of California, San Diego","Michael David Williams","             Xerox, PARC",NA,NA,NA,NA
"104","10.1207/s15516709cog0502_1","1981","The Process of Retrieval from Very Long-Term Memory","Original Article","Michael David Williams1 and
James D. Hollan2","             Xerox, PARC
             University of California, San Diego","James D. Hollan","             University of California, San Diego",NA,NA,NA,NA
"105","10.1207/s15516709cog0502_2","1981","Categorization and Representation of Physics Problems by Experts and Novices†","Original Article","TRUE","Michelene T. H. Chi*, 
Paul J. Feltovich and
Robert Glaser","             University of Pittsburgh","Michelene T. H. Chi","             University of Pittsburgh",NA,NA,NA
"106","10.1207/s15516709cog0502_2","1981","Categorization and Representation of Physics Problems by Experts and Novices†","Original Article","FALSE","Michelene T. H. Chi*, 
Paul J. Feltovich and
Robert Glaser","             University of Pittsburgh","Paul J. Feltovich","             University of Pittsburgh",NA,NA,NA
"107","10.1207/s15516709cog0502_2","1981","Categorization and Representation of Physics Problems by Experts and Novices†","Original Article","FALSE","Michelene T. H. Chi*, 
Paul J. Feltovich and
Robert Glaser","             University of Pittsburgh","Robert Glaser","             University of Pittsburgh",NA,NA,NA
"108","10.1207/s15516709cog0502_3","1981","Errors in Children's Subtraction","Original Article","Richard M. Young1 and
Tim O'Shea2","             MRC Applied Psychology Unit, Cambridge, England
             The Open University","Richard M. Young","             MRC Applied Psychology Unit, Cambridge, England",NA,NA,NA,NA
"109","10.1207/s15516709cog0502_3","1981","Errors in Children's Subtraction","Original Article","Richard M. Young1 and
Tim O'Shea2","             MRC Applied Psychology Unit, Cambridge, England
             The Open University","Tim O'Shea","             The Open University",NA,NA,NA,NA
"110","10.1207/s15516709cog0503_1","1981","The Cultural Part of Cognition","Original Article","Roy Goodwin D'Andrade","             Department of Anthropology, University of California, San Diego","Roy Goodwin D'Andrade","             Department of Anthropology, University of California, San Diego",NA,NA,NA,NA
"111","10.1207/s15516709cog0503_2","1981","Meta-Planning: Representing and Using Knowledge About Planning in Problem Solving and Natural Language Understanding†","Original Article","Robert Wilensky","             Computer Science Division, Department of EECS, University of California, Berkeley","Robert Wilensky","             Computer Science Division, Department of EECS, University of California, Berkeley",NA,NA,NA,NA
"112","10.1207/s15516709cog0503_3","1981","Expertise and Error in Diagnostic Reasoning†","Original Article","Paul E. Johnson1, 
Alica S. Duran1, 
Frank Hassebrock1, 
James Moller1, 
Michael Prietula1, 
Paul J. Feltovich2 and
David B. Swanson3","             University of Minnesota
             University of Pittsburgh
             University of Rochester","Paul E. Johnson","             University of Minnesota",NA,NA,NA,NA
"113","10.1207/s15516709cog0503_3","1981","Expertise and Error in Diagnostic Reasoning†","Original Article","Paul E. Johnson1, 
Alica S. Duran1, 
Frank Hassebrock1, 
James Moller1, 
Michael Prietula1, 
Paul J. Feltovich2 and
David B. Swanson3","             University of Minnesota
             University of Pittsburgh
             University of Rochester","Alica S. Duran","             University of Minnesota",NA,NA,NA,NA
"114","10.1207/s15516709cog0503_3","1981","Expertise and Error in Diagnostic Reasoning†","Original Article","Paul E. Johnson1, 
Alica S. Duran1, 
Frank Hassebrock1, 
James Moller1, 
Michael Prietula1, 
Paul J. Feltovich2 and
David B. Swanson3","             University of Minnesota
             University of Pittsburgh
             University of Rochester","Frank Hassebrock","             University of Minnesota",NA,NA,NA,NA
"115","10.1207/s15516709cog0503_3","1981","Expertise and Error in Diagnostic Reasoning†","Original Article","Paul E. Johnson1, 
Alica S. Duran1, 
Frank Hassebrock1, 
James Moller1, 
Michael Prietula1, 
Paul J. Feltovich2 and
David B. Swanson3","             University of Minnesota
             University of Pittsburgh
             University of Rochester","James Moller","             University of Minnesota",NA,NA,NA,NA
