,author_affiliations
905,"             cnrs-umr 5022, university of bourgogne
             cnrs-umr 5020, university of lyon 1"
946,"             university college london
             cornell university
             santa fe institute"
951,temple university
954,"department of marketing and international business, foster school of business, university of washington"
955,"school of informatics, university of edinburgh"
959,"school of social sciences, humanities, and arts, university of california, merced"
963,"ucl interaction centre, university college london"
985,"             department of organismic and evolutionary biology, harvard university
             school of social sciences, humanities and arts, university of california, merced"
991,"school of informatics, university of edinburgh"
995,"             department of management and organization, new york university
             jerusalem school of business, hebrew university, israel"
999,"cognitive and information sciences, university of california, merced"
1019,university of grenoble
1031,"department of mathematics, friedrich-alexander university erlangen–nürnberg"
1039,"faculty of health sciences, university of sydney"
1044,"institute of cognitive and brain sciences,university of california, berkeley"
1045,"university of california, san diego and university college london"
1056,"center for the ecological study of perception and action, university of connecticut"
1070,"             university of california, san diego
             university of colorado, boulder"
1082,"hunter college, cuny"
1101,"max planck institute for human development, berlin"
1105,"faculty of culture and information science, doshisha university
department of media architecture, future university - hakodate"
1138,"mathematical sciences, university of southampton"
1139,"department of cognitive, perceptual & brain science, university college london
department of economics, ben-gurion university of the negev"
1144,"haskins laboratories, university of connecticut
department of mechanical science and engineering, university of illinois at urbana-champaign"
1149,"department of human development, cornell university"
1171,"viterbo university
university of michigan"
1177,"department of cognitive, perceptual and brain sciences, university college london"
1186,air force research laboratory
1196,"graduate school of education, university of california at berkeley"
1201,"institut für maschinelle sprachverarbeitung, universität stuttgart
dipartimento di filologia, letteratura e linguistica, università di pisa"
1203,"national institute of education, nanyang technological university"
1213,université libre de bruxelles
1226,"department of informatics, universität bremen
faculty of media, bauhaus-universität weimar"
1230,"department of humanities, northumbria university
department of english, university of louisiana at lafayette"
1253,"faculty of education, university of victoria
griffith institute of educational research, griffith university"
1257,"department of physics, ohio state university
department of chemistry and engineering physics, university of wisconsin—platteville"
1271,"section of biology and iufe, university of geneva"
1274,"section of biology and iufe, university of geneva"
1289,"air force research laboratory, wright-patterson afb"
1318,"cognitive and information sciences, university of california, merced"
1330,"center for semiotics, aarhus university
the interacting minds centre, aarhus university"
1358,"department of human development, cornell university"
1359,"los alamos national laboratory
microsoft studios
university of washington
university of california, los angeles"
1391,"department of biblical studies, university of haifa"
1398,"department of signal processing and acoustics, aalto university"
1426,"centre for the study of mind in nature, university of oslo"
1438,"harvard university, graduate school of education
department of human development and quantitative methodology, university of maryland, college park"
1441,"center for cognitive studies, tufts university"
1451,"indiana university
university of richmond
worchester polytechnic institute"
1516,"college of health and rehabilitation sciences: sargent college, boston university"
1525,"university of california, santa barbara"
1526,"facebook
center for mind-brain science, university of trento"
1549,"u.s. naval research laboratory, washington, d.c."
1564,"graduate school of education, the university of tokyo"
1594,"center for social analysis and mathematics, cnrs and ehess
centre marc bloch berlin e.v.
sciences po, médialab"
1610,"mit media laboratory, cambridge, massachusetts"
1615,"departament de psicologia, universitat rovira i virgili, tarragona, spain"
1617,"keio university, japan
duke university, riken brain institute"
1619,"university of california, berkeley
university of louisiana, lafayette"
1622,"université du québec à montréal, montreal
université de toulouse 2 – le mirail, france"
1623,"george mason university
university of texas at dallas
university of california, santa barbara"
1624,"university of richmond, virginia
carnegie mellon university, pittsburgh, pennsylvania"
1629,university of chicago
1630,"university of california, santa cruz"
1634,"naval research laboratory, washington, dc"
1640,"ebape/fgv, rio de janeiro, brazil
brazilian chapter, the club of rome"
