,ACTA PSYCHOL.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,CHILD DEV.csv,COGN NEUROPSYCHOL.csv,COGN PROCESS.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT EDUC.csv,COMPUT HUM BEHAV.csv,CORTEX.csv,DEV PSYCHOL.csv,DEVELOPMENTAL SCI.csv,EDUC PSYCHOL REV.csv,FRONT HUM NEUROSCI.csv,FRONT PSYCHOL.csv,INSTR SCI.csv,J CHILD LANG.csv,J COGNITIVE NEUROSCI.csv,J EDUC PSYCHOL.csv,J EXP CHILD PSYCHOL.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL HUMAN.csv,J EXP PSYCHOL LEARN.csv,J MEM LANG.csv,J NEUROSCI.csv,J PERS SOC PSYCHOL.csv,J PHONETICS.csv,LANG COGN NEUROSCI.csv,LEARN INSTR.csv,LECT NOTES COMPUT SC.csv,MEM COGNITION.csv,NAT NEUROSCI.csv,NATURE.csv,NEURON.csv,NEUROPSYCHOLOGIA.csv,NEW IDEAS PSYCHOL.csv,P NATL ACAD SCI USA.csv,PHILOS T R SOC B.csv,PLOS ONE.csv,PSYCHOL BULL.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,Q J EXP PSYCHOL.csv,SCIENCE.csv,TOP COGN SCI.csv,TRENDS COGN SCI.csv,WIRES COGN SCI.csv
COMPUT HUM BEHAV.csv,21.0,6.0,14.0,33.0,0.0,0.0,15.0,17.0,22.0,483.0,1934.0,0.0,63.0,2.0,78.0,2.0,7.0,33.0,0.0,7.0,162.0,2.0,26.0,16.0,48.0,6.0,10.0,496.0,0.0,0.0,143.0,0.0,26.0,7.0,27.0,6.0,16.0,2.0,29.0,6.0,35.0,240.0,92.0,106.0,18.0,8.0,70.0,4.0,20.0,0.0
CORTEX.csv,18.0,3.0,53.0,12.0,99.0,6.0,103.0,19.0,22.0,0.0,0.0,418.0,4.0,9.0,0.0,70.0,43.0,0.0,2.0,284.0,5.0,10.0,35.0,30.0,73.0,34.0,380.0,19.0,2.0,1.0,0.0,0.0,30.0,173.0,110.0,208.0,551.0,0.0,272.0,69.0,119.0,36.0,79.0,51.0,30.0,27.0,195.0,3.0,160.0,3.0
DEV PSYCHOL.csv,20.0,0.0,23.0,878.0,5.0,2.0,160.0,60.0,17.0,0.0,0.0,7.0,832.0,169.0,5.0,4.0,13.0,0.0,49.0,34.0,82.0,147.0,49.0,25.0,46.0,35.0,25.0,268.0,3.0,0.0,3.0,0.0,35.0,17.0,25.0,8.0,49.0,2.0,63.0,10.0,24.0,235.0,91.0,167.0,37.0,9.0,97.0,4.0,55.0,2.0
DEVELOPMENTAL SCI.csv,13.0,2.0,18.0,216.0,7.0,4.0,178.0,36.0,13.0,0.0,0.0,20.0,150.0,177.0,0.0,9.0,20.0,0.0,26.0,70.0,23.0,106.0,36.0,21.0,25.0,25.0,77.0,19.0,5.0,0.0,5.0,0.0,17.0,44.0,55.0,36.0,50.0,0.0,106.0,18.0,48.0,38.0,32.0,103.0,16.0,9.0,75.0,0.0,64.0,0.0
EDUC PSYCHOL REV.csv,3.0,2.0,18.0,37.0,0.0,0.0,8.0,22.0,21.0,13.0,4.0,0.0,26.0,14.0,85.0,0.0,0.0,9.0,0.0,9.0,119.0,13.0,14.0,2.0,22.0,13.0,13.0,18.0,0.0,0.0,37.0,0.0,26.0,4.0,13.0,7.0,5.0,0.0,20.0,0.0,5.0,19.0,41.0,22.0,30.0,7.0,27.0,5.0,14.0,0.0
FRONT HUM NEUROSCI.csv,155.0,11.0,226.0,103.0,156.0,52.0,430.0,138.0,90.0,3.0,14.0,434.0,74.0,126.0,5.0,1147.0,360.0,0.0,5.0,951.0,46.0,147.0,249.0,334.0,282.0,109.0,1910.0,266.0,16.0,2.0,9.0,0.0,186.0,767.0,710.0,789.0,1113.0,16.0,1162.0,289.0,871.0,301.0,388.0,464.0,233.0,148.0,852.0,28.0,989.0,14.0
FRONT PSYCHOL.csv,410.0,26.0,509.0,667.0,105.0,44.0,996.0,407.0,231.0,35.0,52.0,345.0,573.0,352.0,40.0,389.0,1297.0,12.0,84.0,692.0,178.0,411.0,556.0,915.0,722.0,486.0,1129.0,837.0,75.0,6.0,38.0,0.0,482.0,631.0,724.0,549.0,931.0,57.0,1014.0,308.0,787.0,721.0,1027.0,1131.0,652.0,301.0,888.0,71.0,1156.0,44.0
INSTR SCI.csv,0.0,0.0,0.0,14.0,0.0,0.0,2.0,3.0,20.0,21.0,15.0,0.0,7.0,0.0,35.0,0.0,0.0,93.0,0.0,0.0,104.0,3.0,6.0,0.0,5.0,2.0,0.0,12.0,0.0,0.0,74.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,13.0,3.0,0.0,4.0,0.0,0.0,0.0
J CHILD LANG.csv,2.0,0.0,8.0,95.0,0.0,0.0,102.0,35.0,24.0,0.0,0.0,3.0,70.0,50.0,0.0,0.0,8.0,0.0,235.0,4.0,10.0,20.0,5.0,17.0,15.0,79.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,6.0,0.0,12.0,5.0,0.0,6.0,18.0,41.0,3.0,3.0,24.0,2.0,18.0,2.0
J COGNITIVE NEUROSCI.csv,30.0,0.0,38.0,17.0,49.0,2.0,108.0,39.0,9.0,0.0,0.0,78.0,14.0,26.0,0.0,71.0,49.0,0.0,2.0,611.0,3.0,15.0,59.0,114.0,58.0,43.0,841.0,38.0,3.0,0.0,0.0,0.0,40.0,331.0,249.0,365.0,385.0,0.0,433.0,63.0,122.0,65.0,120.0,129.0,66.0,29.0,330.0,4.0,310.0,2.0
J EDUC PSYCHOL.csv,2.0,2.0,0.0,126.0,0.0,3.0,18.0,12.0,33.0,23.0,10.0,0.0,96.0,19.0,49.0,0.0,0.0,18.0,4.0,0.0,437.0,52.0,15.0,0.0,23.0,21.0,0.0,102.0,0.0,0.0,43.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,3.0,60.0,45.0,37.0,11.0,7.0,27.0,8.0,8.0,2.0
J EXP CHILD PSYCHOL.csv,28.0,0.0,29.0,511.0,10.0,0.0,196.0,53.0,27.0,0.0,2.0,5.0,352.0,230.0,0.0,3.0,21.0,0.0,33.0,32.0,105.0,410.0,69.0,49.0,89.0,68.0,13.0,34.0,2.0,0.0,12.0,0.0,58.0,15.0,38.0,10.0,54.0,0.0,43.0,34.0,36.0,70.0,55.0,171.0,45.0,35.0,51.0,3.0,78.0,6.0
J EXP PSYCHOL GEN.csv,52.0,0.0,72.0,48.0,5.0,3.0,166.0,130.0,52.0,0.0,0.0,11.0,42.0,24.0,6.0,20.0,43.0,0.0,4.0,61.0,13.0,29.0,239.0,187.0,290.0,101.0,86.0,539.0,2.0,0.0,2.0,0.0,192.0,69.0,86.0,54.0,50.0,3.0,117.0,44.0,70.0,204.0,418.0,386.0,219.0,78.0,149.0,7.0,160.0,4.0
J EXP PSYCHOL HUMAN.csv,141.0,2.0,52.0,16.0,17.0,10.0,160.0,149.0,24.0,0.0,0.0,26.0,9.0,12.0,0.0,29.0,53.0,0.0,0.0,116.0,2.0,25.0,143.0,891.0,162.0,62.0,155.0,45.0,27.0,0.0,2.0,3.0,110.0,75.0,150.0,64.0,146.0,2.0,103.0,30.0,91.0,97.0,268.0,275.0,298.0,113.0,125.0,11.0,185.0,2.0
J EXP PSYCHOL LEARN.csv,60.0,0.0,40.0,5.0,5.0,0.0,147.0,150.0,44.0,0.0,0.0,17.0,14.0,11.0,3.0,9.0,30.0,3.0,0.0,52.0,18.0,20.0,177.0,200.0,595.0,275.0,38.0,35.0,0.0,0.0,5.0,0.0,323.0,25.0,21.0,14.0,54.0,2.0,34.0,9.0,22.0,116.0,368.0,142.0,265.0,108.0,44.0,5.0,84.0,4.0
J MEM LANG.csv,25.0,0.0,37.0,25.0,17.0,0.0,165.0,99.0,48.0,0.0,0.0,14.0,15.0,21.0,0.0,5.0,28.0,0.0,37.0,46.0,3.0,25.0,81.0,62.0,337.0,469.0,11.0,2.0,17.0,1.0,0.0,0.0,132.0,9.0,15.0,2.0,16.0,0.0,21.0,7.0,12.0,43.0,158.0,91.0,153.0,52.0,28.0,7.0,32.0,2.0
J NEUROSCI.csv,16.0,0.0,41.0,10.0,12.0,5.0,61.0,28.0,8.0,0.0,0.0,81.0,4.0,11.0,0.0,148.0,72.0,0.0,0.0,393.0,0.0,0.0,47.0,88.0,52.0,13.0,10177.0,22.0,5.0,0.0,0.0,3.0,24.0,2779.0,2803.0,4633.0,328.0,0.0,3311.0,236.0,1023.0,60.0,149.0,142.0,43.0,27.0,2350.0,2.0,494.0,5.0
J PERS SOC PSYCHOL.csv,3.0,0.0,31.0,62.0,0.0,0.0,25.0,9.0,6.0,0.0,2.0,2.0,63.0,5.0,2.0,0.0,2.0,0.0,0.0,12.0,24.0,2.0,39.0,5.0,17.0,6.0,6.0,1617.0,0.0,0.0,0.0,0.0,4.0,5.0,21.0,3.0,3.0,0.0,31.0,4.0,19.0,257.0,175.0,317.0,13.0,0.0,72.0,2.0,26.0,0.0
J PHONETICS.csv,2.0,0.0,7.0,0.0,0.0,0.0,47.0,21.0,24.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,7.0,28.0,19.0,65.0,0.0,0.0,388.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,7.0,4.0,9.0,0.0,29.0,19.0,12.0,4.0,5.0,0.0,7.0,0.0
LANG COGN NEUROSCI.csv,10.0,5.0,33.0,10.0,28.0,2.0,292.0,95.0,73.0,0.0,0.0,18.0,10.0,8.0,0.0,3.0,22.0,0.0,18.0,77.0,0.0,10.0,42.0,52.0,220.0,467.0,16.0,13.0,28.0,6.0,0.0,0.0,110.0,12.0,15.0,4.0,31.0,0.0,17.0,6.0,10.0,21.0,115.0,69.0,81.0,40.0,31.0,20.0,46.0,0.0
LEARN INSTR.csv,6.0,2.0,6.0,43.0,0.0,0.0,9.0,17.0,32.0,8.0,25.0,3.0,28.0,9.0,82.0,0.0,0.0,31.0,0.0,0.0,256.0,31.0,19.0,0.0,32.0,11.0,0.0,43.0,0.0,0.0,204.0,0.0,26.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,37.0,26.0,20.0,10.0,2.0,14.0,3.0,11.0,0.0
LECT NOTES COMPUT SC.csv,16.0,369.0,12.0,9.0,0.0,3.0,14.0,39.0,78.0,177.0,108.0,2.0,5.0,3.0,29.0,7.0,10.0,14.0,2.0,23.0,52.0,0.0,13.0,19.0,13.0,9.0,33.0,72.0,0.0,0.0,39.0,20241.0,18.0,29.0,226.0,30.0,14.0,4.0,235.0,15.0,141.0,51.0,95.0,30.0,22.0,5.0,289.0,14.0,32.0,0.0
MEM COGNITION.csv,26.0,0.0,21.0,9.0,7.0,0.0,80.0,61.0,24.0,0.0,0.0,8.0,10.0,8.0,0.0,10.0,5.0,2.0,0.0,38.0,33.0,12.0,129.0,63.0,469.0,235.0,15.0,54.0,2.0,1.0,2.0,0.0,341.0,8.0,18.0,4.0,31.0,0.0,21.0,4.0,14.0,64.0,203.0,108.0,181.0,60.0,34.0,0.0,64.0,3.0
NAT NEUROSCI.csv,0.0,0.0,9.0,0.0,2.0,0.0,9.0,6.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,11.0,8.0,0.0,0.0,27.0,0.0,2.0,8.0,8.0,4.0,0.0,1103.0,9.0,0.0,0.0,0.0,0.0,4.0,770.0,757.0,992.0,15.0,0.0,543.0,30.0,131.0,5.0,42.0,20.0,5.0,0.0,550.0,0.0,63.0,0.0
NATURE.csv,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252.0,0.0,0.0,0.0,0.0,3.0,0.0,201.0,4671.0,310.0,2.0,0.0,1732.0,69.0,387.0,2.0,2.0,6.0,0.0,0.0,2299.0,0.0,4.0,0.0
NEURON.csv,3.0,0.0,15.0,5.0,5.0,0.0,12.0,6.0,3.0,0.0,0.0,18.0,3.0,5.0,0.0,38.0,16.0,0.0,0.0,74.0,2.0,0.0,13.0,8.0,4.0,0.0,3111.0,14.0,0.0,0.0,0.0,0.0,3.0,1380.0,1701.0,2684.0,61.0,0.0,1483.0,91.0,302.0,9.0,56.0,19.0,8.0,5.0,1245.0,0.0,134.0,4.0
NEUROPSYCHOLOGIA.csv,78.0,2.0,97.0,44.0,111.0,6.0,187.0,77.0,32.0,0.0,0.0,283.0,48.0,69.0,0.0,152.0,122.0,0.0,4.0,772.0,12.0,45.0,145.0,187.0,202.0,114.0,891.0,64.0,10.0,2.0,0.0,0.0,118.0,369.0,243.0,337.0,1244.0,0.0,484.0,115.0,252.0,111.0,200.0,238.0,99.0,74.0,375.0,5.0,477.0,7.0
NEW IDEAS PSYCHOL.csv,2.0,6.0,16.0,16.0,0.0,0.0,23.0,2.0,20.0,0.0,0.0,0.0,12.0,2.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,12.0,7.0,9.0,0.0,45.0,5.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,49.0,5.0,0.0,2.0,17.0,39.0,20.0,11.0,0.0,12.0,6.0,13.0,0.0
P NATL ACAD SCI USA.csv,5.0,0.0,57.0,39.0,5.0,2.0,83.0,23.0,23.0,0.0,0.0,23.0,29.0,27.0,4.0,40.0,45.0,0.0,4.0,103.0,4.0,15.0,33.0,30.0,20.0,12.0,1963.0,134.0,5.0,1.0,0.0,8.0,11.0,802.0,7568.0,1363.0,104.0,3.0,11589.0,377.0,2077.0,84.0,137.0,148.0,28.0,10.0,6706.0,8.0,183.0,0.0
PHILOS T R SOC B.csv,20.0,11.0,62.0,49.0,70.0,4.0,161.0,44.0,41.0,0.0,0.0,51.0,69.0,85.0,2.0,45.0,59.0,0.0,23.0,120.0,8.0,41.0,26.0,60.0,33.0,48.0,1246.0,9.0,41.0,0.0,0.0,0.0,11.0,523.0,1272.0,772.0,113.0,0.0,1112.0,809.0,406.0,23.0,177.0,102.0,38.0,27.0,1069.0,12.0,226.0,5.0
PLOS ONE.csv,232.0,51.0,259.0,369.0,87.0,27.0,578.0,200.0,91.0,28.0,80.0,288.0,304.0,219.0,21.0,378.0,290.0,3.0,38.0,931.0,133.0,207.0,319.0,536.0,310.0,173.0,8335.0,1276.0,35.0,1.0,16.0,0.0,208.0,2291.0,22432.0,3523.0,1240.0,10.0,29782.0,1640.0,35722.0,913.0,619.0,973.0,356.0,165.0,18977.0,21.0,1022.0,20.0
PSYCHOL BULL.csv,19.0,0.0,39.0,96.0,7.0,2.0,52.0,27.0,15.0,0.0,12.0,10.0,124.0,27.0,3.0,2.0,7.0,0.0,2.0,25.0,46.0,18.0,52.0,39.0,126.0,56.0,62.0,334.0,0.0,0.0,2.0,0.0,82.0,34.0,62.0,23.0,26.0,0.0,80.0,14.0,40.0,263.0,138.0,167.0,54.0,30.0,103.0,0.0,51.0,3.0
PSYCHOL REV.csv,22.0,0.0,20.0,7.0,0.0,0.0,19.0,28.0,12.0,0.0,0.0,0.0,11.0,5.0,0.0,5.0,12.0,0.0,0.0,13.0,2.0,0.0,37.0,61.0,46.0,18.0,57.0,113.0,0.0,0.0,0.0,0.0,20.0,33.0,21.0,22.0,10.0,0.0,40.0,14.0,14.0,39.0,266.0,50.0,36.0,14.0,45.0,4.0,38.0,0.0
PSYCHOL SCI.csv,17.0,0.0,39.0,82.0,4.0,2.0,91.0,52.0,18.0,3.0,0.0,10.0,72.0,46.0,2.0,16.0,24.0,0.0,3.0,46.0,35.0,28.0,85.0,69.0,80.0,38.0,105.0,367.0,6.0,0.0,7.0,0.0,47.0,66.0,104.0,62.0,45.0,2.0,143.0,38.0,63.0,148.0,122.0,397.0,65.0,17.0,158.0,0.0,115.0,2.0
PSYCHON B REV.csv,72.0,0.0,53.0,37.0,16.0,0.0,154.0,109.0,62.0,0.0,0.0,17.0,29.0,36.0,2.0,10.0,41.0,0.0,6.0,72.0,0.0,23.0,159.0,291.0,242.0,92.0,54.0,43.0,4.0,1.0,0.0,0.0,152.0,45.0,75.0,14.0,77.0,0.0,89.0,20.0,62.0,89.0,265.0,266.0,298.0,61.0,62.0,5.0,102.0,6.0
Q J EXP PSYCHOL.csv,69.0,0.0,45.0,41.0,19.0,3.0,193.0,110.0,25.0,0.0,0.0,26.0,22.0,30.0,0.0,10.0,41.0,0.0,6.0,41.0,17.0,57.0,140.0,260.0,397.0,220.0,31.0,48.0,13.0,0.0,0.0,0.0,214.0,28.0,47.0,21.0,56.0,0.0,29.0,12.0,38.0,81.0,193.0,154.0,217.0,180.0,50.0,10.0,86.0,2.0
SCIENCE.csv,3.0,2.0,9.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,4.0,0.0,0.0,13.0,2.0,2.0,6.0,2.0,2.0,3.0,308.0,20.0,0.0,0.0,0.0,0.0,6.0,195.0,2604.0,286.0,8.0,0.0,1441.0,76.0,355.0,12.0,15.0,17.0,4.0,0.0,3315.0,0.0,24.0,0.0
TOP COGN SCI.csv,6.0,8.0,43.0,7.0,9.0,0.0,59.0,20.0,28.0,0.0,0.0,11.0,9.0,4.0,0.0,11.0,28.0,0.0,3.0,20.0,0.0,0.0,16.0,11.0,20.0,12.0,21.0,3.0,2.0,0.0,0.0,0.0,18.0,12.0,15.0,14.0,18.0,0.0,21.0,11.0,17.0,14.0,97.0,31.0,24.0,8.0,19.0,59.0,29.0,3.0
TRENDS COGN SCI.csv,11.0,0.0,46.0,33.0,11.0,6.0,75.0,33.0,19.0,0.0,0.0,12.0,34.0,39.0,0.0,49.0,26.0,0.0,3.0,86.0,4.0,9.0,44.0,23.0,50.0,28.0,341.0,46.0,3.0,0.0,0.0,0.0,25.0,143.0,134.0,191.0,69.0,0.0,231.0,50.0,83.0,49.0,68.0,110.0,33.0,18.0,189.0,9.0,218.0,3.0
WIRES COGN SCI.csv,9.0,22.0,33.0,48.0,15.0,0.0,77.0,37.0,46.0,0.0,0.0,7.0,27.0,25.0,0.0,15.0,23.0,0.0,12.0,31.0,0.0,11.0,28.0,29.0,41.0,14.0,102.0,48.0,3.0,0.0,0.0,0.0,20.0,54.0,90.0,64.0,31.0,2.0,114.0,46.0,75.0,27.0,100.0,65.0,19.0,15.0,131.0,6.0,45.0,13.0
